Vowel	Ceiling	F2	F3
aa	5900	1598.9	3452.5
aa	6000	1489.4	3510.5
aa	6100	1420.8	2688.8
aa	6200	1379.9	3082.9
aa	6300	1373.4	3368.5
aa	6400	1372.9	3547.3
aa	6500	1399.5	3494.2
ii	4500	933.5	2710.3
ii	4600	956.4	2713.6
ii	4700	977.9	2717.5
ii	4800	835.6	2722.1
ii	4900	1765.9	2962.9
ii	5000	2719.6	3199.9
ii	5100	2718.2	3197.1
ii	5200	2717.9	3197.4
ii	5300	2713.5	3187.7
ii	5400	2719.6	3204.3
ii	5500	2725.4	3218.5
ii	5600	2734.1	3236.6
ii	5700	2742.9	3248.7
ii	5800	2749.5	3242.6
ii	5900	2752.1	3202.3
ii	6000	2747.3	3142.3
ii	6100	2734.6	3105.2
ii	6200	2720.4	3098.3
ii	6300	2711.0	3107.5
ii	6400	2707.0	3121.9
ii	6500	2707.3	3139.0
ii	4500	993.4	2751.9
ii	4600	1032.7	2754.2
ii	4700	1066.2	2761.6
ii	4800	1094.5	2768.2
ii	4900	1017.6	2775.9
ii	5000	1883.6	2996.5
ii	5100	2777.3	3223.9
ii	5200	2762.3	3165.5
ii	5300	2760.0	3171.8
ii	5400	2755.9	3174.3
ii	5500	2765.9	3198.3
ii	5600	2778.1	3222.0
ii	5700	2794.7	3245.1
ii	5800	2812.9	3250.7
ii	5900	2830.6	3193.2
ii	6000	2849.0	3043.3
ii	6100	2866.5	2932.0
ii	6200	2861.4	2905.8
ii	6300	2804.3	2964.8
ii	6400	2785.8	3011.4
ii	6500	2786.1	3059.5
aa	4500	1240.6	2351.0
aa	4600	1546.2	3132.0
aa	4700	1539.7	3140.9
aa	4800	1531.6	3148.3
aa	4900	1527.5	3149.6
aa	5000	1524.0	3142.6
aa	5100	1524.3	3138.6
aa	5200	1525.3	3131.2
aa	5300	1528.1	3141.1
aa	5400	1530.5	3156.2
aa	5500	1531.1	3175.6
aa	5600	1526.7	3198.4
aa	5700	1512.9	3221.9
aa	5800	1485.0	3244.7
aa	5900	1449.2	3259.8
aa	6000	1418.9	3254.5
aa	6100	1402.2	3207.5
aa	6200	1393.7	3163.7
aa	6300	1391.3	3134.5
aa	6400	1391.4	3117.9
aa	6500	1393.1	3115.6
aa	4500	1571.7	3151.8
aa	4600	1573.1	3154.6
aa	4700	1573.3	3160.5
aa	4800	1568.5	3170.9
aa	4900	1566.7	3176.5
aa	5000	1560.5	3169.0
aa	5100	1562.1	3166.1
aa	5200	1563.8	3159.0
aa	5300	1566.1	3171.3
aa	5400	1567.2	3183.2
aa	5500	1564.5	3203.2
aa	5600	1555.5	3223.8
aa	5700	1535.7	3245.8
aa	5800	1505.9	3266.0
aa	5900	1475.4	3281.3
aa	6000	1453.6	3286.3
aa	6100	1442.4	3273.2
aa	6200	1437.6	3240.6
aa	6300	1436.4	3199.3
aa	6400	1437.3	3171.5
aa	6500	1439.9	3165.2
aa	4500	913.1	1370.4
aa	4600	907.5	1364.9
aa	4700	1360.0	3284.1
aa	4800	1354.5	3296.8
aa	4900	1352.4	3300.8
aa	5000	1351.5	3285.1
aa	5100	1353.3	3266.7
aa	5200	1354.4	3271.5
aa	5300	1354.1	3289.6
aa	5400	1348.4	3319.2
aa	5500	1334.5	3352.5
aa	5600	1311.8	3389.2
aa	5700	1289.9	3427.2
aa	5800	1276.5	3463.3
aa	5900	1270.0	3499.9
aa	6000	1267.5	3545.6
aa	6100	1267.0	3371.0
aa	6200	1267.8	3306.9
aa	6300	1269.2	3292.6
aa	6400	1270.8	3297.5
aa	6500	1272.8	3314.3
aa	4500	1434.4	3200.7
aa	4600	1433.8	3206.5
aa	4700	1432.8	3215.1
aa	4800	1432.4	3221.1
aa	4900	1432.5	3202.6
aa	5000	1433.0	3204.4
aa	5100	1433.8	3202.8
aa	5200	1432.5	3217.5
aa	5300	1428.1	3238.1
aa	5400	1418.8	3263.8
aa	5500	1407.4	3288.6
aa	5600	1397.6	3308.5
aa	5700	1391.4	3312.3
aa	5800	1388.6	3275.5
aa	5900	1387.6	3223.6
aa	6000	1388.2	3201.7
aa	6100	1389.3	3198.1
aa	6200	1391.3	3209.9
aa	6300	1392.9	3218.9
aa	6400	1395.0	3234.8
aa	6500	1397.4	3253.4
aa	4500	1011.5	1515.3
aa	4600	1005.0	1512.3
aa	4700	988.1	1499.5
aa	4800	1480.7	3334.8
aa	4900	1457.4	3357.2
aa	5000	1445.5	3365.6
aa	5100	1442.2	3350.5
aa	5200	1442.4	3322.0
aa	5300	1444.2	3295.0
aa	5400	1447.3	3326.1
aa	5500	1447.6	3367.8
aa	5600	1441.0	3414.8
aa	5700	1419.9	3467.3
aa	5800	1375.7	3522.3
aa	5900	1325.5	3578.5
aa	6000	1297.8	3635.6
aa	6100	1289.6	3283.8
aa	6200	1287.6	3217.5
aa	6300	1288.1	3220.8
aa	6400	1289.8	3240.3
aa	6500	1291.8	3259.1
aa	4500	1544.4	3279.9
aa	4600	1543.9	3284.8
aa	4700	1543.0	3291.2
aa	4800	1539.4	3303.3
aa	4900	1537.7	3308.9
aa	5000	1537.0	3310.7
aa	5100	1536.8	3306.7
aa	5200	1538.0	3298.2
aa	5300	1541.5	3307.7
aa	5400	1544.7	3322.4
aa	5500	1546.5	3346.5
aa	5600	1543.0	3372.1
aa	5700	1528.1	3402.3
